ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
1,0.0483333333333333,0.0366666666666667,0.131666666666667,0.186666666666667,0.596666666666667
2,0.816666666666667,0.00166666666666667,0.005,0.145,0.0316666666666667
3,0.245,0.00166666666666667,0.015,0.0816666666666667,0.656666666666667
4,0.0866666666666667,0.015,0.0566666666666667,0.18,0.661666666666667
5,0.445,0,0.0166666666666667,0.403333333333333,0.135
6,0.195,0,0.0483333333333333,0.523333333333333,0.233333333333333
7,0.27,0.025,0.163333333333333,0.146666666666667,0.395
8,0.878333333333333,0,0.005,0.02,0.0966666666666667
9,0.993333333333333,0,0,0.00333333333333333,0.00333333333333333
10,0.621666666666667,0,0.015,0.288333333333333,0.075
11,0.818333333333333,0,0.005,0.12,0.0566666666666667
12,0.015,0,0.258333333333333,0.205,0.521666666666667
13,0.586666666666667,0.00833333333333333,0.0183333333333333,0.13,0.256666666666667
14,0.465,0,0.01,0.461666666666667,0.0633333333333333
15,0.915,0,0.00333333333333333,0.0633333333333333,0.0183333333333333
16,0.89,0.00166666666666667,0,0.0816666666666667,0.0266666666666667
17,0.453333333333333,0,0.00166666666666667,0.521666666666667,0.0233333333333333
18,0.581666666666667,0,0.00166666666666667,0.413333333333333,0.00333333333333333
19,0.243333333333333,0.005,0.0166666666666667,0.16,0.575
20,0.0366666666666667,0.015,0.163333333333333,0.04,0.745
21,0.403333333333333,0.00166666666666667,0.0233333333333333,0.0933333333333333,0.478333333333333
22,0.00333333333333333,0.0383333333333333,0.105,0.0166666666666667,0.836666666666667
23,0.76,0,0.00333333333333333,0.135,0.101666666666667
24,0.055,0.035,0.0483333333333333,0.02,0.841666666666667
25,0.788333333333333,0,0.0116666666666667,0.146666666666667,0.0533333333333333
26,0.236666666666667,0.00333333333333333,0.035,0.0616666666666667,0.663333333333333
27,0.898333333333333,0,0.00333333333333333,0.0183333333333333,0.08
28,0.14,0.025,0.141666666666667,0.035,0.658333333333333
29,0.385,0,0.0316666666666667,0.445,0.138333333333333
30,0.341666666666667,0,0.0216666666666667,0.563333333333333,0.0733333333333333
31,0.468333333333333,0,0.01,0.363333333333333,0.158333333333333
32,0.663333333333333,0.01,0.00166666666666667,0.0983333333333333,0.226666666666667
33,0.251666666666667,0.0283333333333333,0.0416666666666667,0.09,0.588333333333333
34,0.931666666666667,0,0.00166666666666667,0.0416666666666667,0.025
35,0.0783333333333333,0.0383333333333333,0.0566666666666667,0.0283333333333333,0.798333333333333
36,0.475,0,0.025,0.218333333333333,0.281666666666667
37,0.156666666666667,0.00333333333333333,0.095,0.0633333333333333,0.681666666666667
38,0.838333333333333,0,0.00333333333333333,0.101666666666667,0.0566666666666667
39,0.328333333333333,0,0.0133333333333333,0.54,0.118333333333333
40,0.626666666666667,0,0.005,0.05,0.318333333333333
41,0.0733333333333333,0.025,0.065,0.2,0.636666666666667
